locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHLAKHBD_00425	CDS	792				hypothetical protein
DHLAKHBD_00426	CDS	363	psbU			Photosystem II 12 kDa extrinsic protein
DHLAKHBD_00427	CDS	1782	nadB	1.4.3.16	COG0029	L-aspartate oxidase
DHLAKHBD_00428	CDS	942		1.17.4.-	COG4243	Vitamin K epoxide reductase 
DHLAKHBD_00429	CDS	1386	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
DHLAKHBD_00430	CDS	1125				hypothetical protein
DHLAKHBD_00431	CDS	93				hypothetical protein
DHLAKHBD_00432	CDS	1575	hpnP	2.1.1.-		Hopanoid C-2 methylase
DHLAKHBD_00433	CDS	372				hypothetical protein
DHLAKHBD_00434	CDS	153				hypothetical protein
DHLAKHBD_00435	CDS	345				hypothetical protein
DHLAKHBD_00436	CDS	1137				hypothetical protein
DHLAKHBD_00437	CDS	264				hypothetical protein
DHLAKHBD_00438	CDS	828				hypothetical protein
DHLAKHBD_00439	CDS	126				hypothetical protein
DHLAKHBD_00440	CDS	150				hypothetical protein
DHLAKHBD_00441	CDS	717				hypothetical protein
DHLAKHBD_00442	CDS	921				hypothetical protein
DHLAKHBD_00443	CDS	579	aroK	2.7.1.71	COG0703	Shikimate kinase 1
DHLAKHBD_00444	CDS	618				hypothetical protein
DHLAKHBD_00445	CDS	207				hypothetical protein
DHLAKHBD_00446	CDS	327				hypothetical protein
DHLAKHBD_00447	CDS	183				hypothetical protein
DHLAKHBD_00448	CDS	1380	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
DHLAKHBD_00449	CDS	225				hypothetical protein
DHLAKHBD_00450	CDS	1197	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
DHLAKHBD_00451	CDS	813	cpoB_1			Cell division coordinator CpoB
DHLAKHBD_00452	CDS	1059	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
DHLAKHBD_00453	CDS	498	smpB		COG0691	SsrA-binding protein
DHLAKHBD_00454	CDS	1890				hypothetical protein
DHLAKHBD_00455	CDS	240				hypothetical protein
DHLAKHBD_00456	CDS	1182	egtB	1.14.99.50	COG1262	Hercynine oxygenase
DHLAKHBD_00457	CDS	954	egtD	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
DHLAKHBD_00458	CDS	231				hypothetical protein
DHLAKHBD_00459	CDS	483				hypothetical protein
DHLAKHBD_00460	CDS	264				hypothetical protein
DHLAKHBD_00461	CDS	1527	lysS	6.1.1.6		Lysine--tRNA ligase
DHLAKHBD_00462	CDS	849	mprA_1			Response regulator MprA
DHLAKHBD_00463	CDS	1311				hypothetical protein
DHLAKHBD_00464	CDS	510				hypothetical protein
DHLAKHBD_00465	CDS	744				hypothetical protein
DHLAKHBD_00466	CDS	1053	mreB			Cell shape-determining protein MreB
DHLAKHBD_00467	CDS	387	ssb		COG0629	Single-stranded DNA-binding protein
DHLAKHBD_00468	CDS	660				hypothetical protein
DHLAKHBD_00469	CDS	1572				hypothetical protein
DHLAKHBD_00470	CDS	1431	ahcY	3.3.1.1		Adenosylhomocysteinase
DHLAKHBD_00471	CDS	474				hypothetical protein
DHLAKHBD_00472	CDS	1041	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
DHLAKHBD_00473	CDS	1113	mutY	3.2.2.31		Adenine DNA glycosylase
DHLAKHBD_00474	CDS	954	vldW	1.14.11.52		Validamycin A dioxygenase
DHLAKHBD_00475	CDS	738	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
DHLAKHBD_00476	CDS	1917	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
DHLAKHBD_00477	CDS	633				hypothetical protein
DHLAKHBD_00478	CDS	1152	bepF_2			Efflux pump periplasmic linker BepF
DHLAKHBD_00479	CDS	3261	acrB		COG0841	Multidrug efflux pump subunit AcrB
DHLAKHBD_00480	CDS	765	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
DHLAKHBD_00481	CDS	219	sigA2_2		COG0568	RNA polymerase sigma factor SigA2
DHLAKHBD_00482	CDS	312				hypothetical protein
DHLAKHBD_00483	CDS	666				hypothetical protein
DHLAKHBD_00484	CDS	312				hypothetical protein
DHLAKHBD_00485	tRNA	75				tRNA-Pro(tgg)
DHLAKHBD_00486	CDS	96				hypothetical protein
DHLAKHBD_00487	CDS	168				hypothetical protein
DHLAKHBD_00488	CDS	882				hypothetical protein
DHLAKHBD_00489	CDS	198				hypothetical protein
DHLAKHBD_00490	CDS	315				hypothetical protein
DHLAKHBD_00491	CDS	120				hypothetical protein
DHLAKHBD_00492	CDS	597				hypothetical protein
DHLAKHBD_00493	CDS	645	pal			Peptidoglycan-associated lipoprotein
DHLAKHBD_00494	CDS	264				hypothetical protein
DHLAKHBD_00495	CDS	333				hypothetical protein
DHLAKHBD_00496	CDS	276				hypothetical protein
DHLAKHBD_00497	CDS	186				hypothetical protein
DHLAKHBD_00498	CDS	174				hypothetical protein
DHLAKHBD_00499	CDS	252				hypothetical protein
DHLAKHBD_00500	CDS	852	RBKS	2.7.1.15		Ribokinase
DHLAKHBD_00501	CDS	2214	gltP			Proton/glutamate-aspartate symporter
DHLAKHBD_00502	CDS	885				hypothetical protein
DHLAKHBD_00503	CDS	450				hypothetical protein
DHLAKHBD_00504	CDS	324				hypothetical protein
DHLAKHBD_00505	CDS	207				hypothetical protein
DHLAKHBD_00506	CDS	147				hypothetical protein
DHLAKHBD_00507	CDS	276				hypothetical protein
DHLAKHBD_00508	CDS	342				hypothetical protein
DHLAKHBD_00509	CDS	1656	mpdB	1.1.1.400		2-methyl-1,2-propanediol dehydrogenase
DHLAKHBD_00510	CDS	267				hypothetical protein
DHLAKHBD_00511	CDS	177				hypothetical protein
DHLAKHBD_00512	CDS	1104				hypothetical protein
DHLAKHBD_00513	CDS	156				hypothetical protein
DHLAKHBD_00514	CDS	1185				hypothetical protein
DHLAKHBD_00515	CDS	1581	dauA		COG0659	C4-dicarboxylic acid transporter DauA
DHLAKHBD_00516	CDS	399				hypothetical protein
DHLAKHBD_00517	CDS	1047	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
DHLAKHBD_00518	CDS	894	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
DHLAKHBD_00519	CDS	510				hypothetical protein
DHLAKHBD_00520	CDS	237				hypothetical protein
DHLAKHBD_00521	CDS	1029	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
DHLAKHBD_00522	CDS	741	glnQ_1			Glutamine transport ATP-binding protein GlnQ
DHLAKHBD_00523	CDS	237				hypothetical protein
DHLAKHBD_00524	CDS	279				hypothetical protein
DHLAKHBD_00525	CDS	159				hypothetical protein
DHLAKHBD_00526	CDS	264				hypothetical protein
DHLAKHBD_00527	CDS	201				hypothetical protein
DHLAKHBD_00528	CDS	171				hypothetical protein
DHLAKHBD_00529	CDS	291			COG4095	Sugar transporter SemiSWEET
DHLAKHBD_00530	CDS	192				hypothetical protein
DHLAKHBD_00531	CDS	297				hypothetical protein
DHLAKHBD_00532	CDS	243				hypothetical protein
DHLAKHBD_00533	CDS	138				hypothetical protein
DHLAKHBD_00534	CDS	249				hypothetical protein
DHLAKHBD_00535	CDS	198				hypothetical protein
DHLAKHBD_00536	CDS	267				hypothetical protein
DHLAKHBD_00537	CDS	276				hypothetical protein
DHLAKHBD_00538	CDS	306				hypothetical protein
DHLAKHBD_00539	CDS	168				hypothetical protein
DHLAKHBD_00540	CDS	276				hypothetical protein
DHLAKHBD_00541	CDS	186				hypothetical protein
DHLAKHBD_00542	CDS	621				hypothetical protein
DHLAKHBD_00543	CDS	267				hypothetical protein
DHLAKHBD_00544	CDS	156				hypothetical protein
DHLAKHBD_00545	CDS	105				hypothetical protein
DHLAKHBD_00546	CDS	174				hypothetical protein
DHLAKHBD_00547	CDS	552				hypothetical protein
DHLAKHBD_00548	CDS	1626			COG0645	putative protein
DHLAKHBD_00549	CDS	894	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
DHLAKHBD_00550	CDS	1329	oah1	2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase 1
DHLAKHBD_00551	CDS	696				hypothetical protein
DHLAKHBD_00552	CDS	1068				hypothetical protein
DHLAKHBD_00553	CDS	165				hypothetical protein
DHLAKHBD_00554	CDS	816				hypothetical protein
DHLAKHBD_00555	CDS	1047				hypothetical protein
DHLAKHBD_00556	CDS	249				hypothetical protein
DHLAKHBD_00557	CDS	567				hypothetical protein
DHLAKHBD_00558	CDS	1134	nahK	2.7.1.162		N-acetylhexosamine 1-kinase
DHLAKHBD_00559	CDS	225	degU		COG2197	Transcriptional regulatory protein DegU
DHLAKHBD_00560	CDS	1287				hypothetical protein
DHLAKHBD_00561	CDS	2757				hypothetical protein
DHLAKHBD_00562	CDS	1512				hypothetical protein
DHLAKHBD_00563	CDS	1206	stpA	3.1.3.69		Glucosylglycerol-phosphate phosphatase
DHLAKHBD_00564	CDS	999				hypothetical protein
DHLAKHBD_00565	CDS	396	sepF_2			Cell division protein SepF
DHLAKHBD_00566	CDS	273				hypothetical protein
DHLAKHBD_00567	CDS	480				hypothetical protein
DHLAKHBD_00568	CDS	813				hypothetical protein
DHLAKHBD_00569	CDS	633				hypothetical protein
DHLAKHBD_00570	CDS	393	mscL		COG1970	Large-conductance mechanosensitive channel
DHLAKHBD_00571	CDS	555				hypothetical protein
DHLAKHBD_00572	CDS	237				hypothetical protein
DHLAKHBD_00573	CDS	1971				hypothetical protein
DHLAKHBD_00574	CDS	1110				hypothetical protein
DHLAKHBD_00575	CDS	480				hypothetical protein
DHLAKHBD_00576	CDS	1098				hypothetical protein
DHLAKHBD_00577	CDS	156				hypothetical protein
DHLAKHBD_00578	CDS	249				hypothetical protein
DHLAKHBD_00579	CDS	906	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
DHLAKHBD_00580	CDS	270				hypothetical protein
DHLAKHBD_00581	CDS	171				hypothetical protein
DHLAKHBD_00582	CDS	444				hypothetical protein
DHLAKHBD_00583	CDS	213				hypothetical protein
DHLAKHBD_00584	CDS	285				hypothetical protein
DHLAKHBD_00585	CDS	135				hypothetical protein
DHLAKHBD_00586	CDS	201				hypothetical protein
DHLAKHBD_00587	CDS	111				hypothetical protein
DHLAKHBD_00588	CDS	312				hypothetical protein
DHLAKHBD_00589	CDS	309				hypothetical protein
DHLAKHBD_00590	CDS	105				hypothetical protein
DHLAKHBD_00591	CDS	456				hypothetical protein
DHLAKHBD_00592	CDS	651				hypothetical protein
DHLAKHBD_00593	CDS	522				hypothetical protein
DHLAKHBD_00594	CDS	225				hypothetical protein
DHLAKHBD_00595	CDS	345				hypothetical protein
DHLAKHBD_00596	CDS	177				hypothetical protein
DHLAKHBD_00597	CDS	306				hypothetical protein
DHLAKHBD_00598	CDS	195				hypothetical protein
DHLAKHBD_00599	CDS	1590				hypothetical protein
DHLAKHBD_00600	CDS	138				hypothetical protein
DHLAKHBD_00601	CDS	252				hypothetical protein
DHLAKHBD_00602	CDS	1548				hypothetical protein
DHLAKHBD_00603	CDS	1413				hypothetical protein
DHLAKHBD_00604	CDS	1635				hypothetical protein
DHLAKHBD_00605	CDS	987				hypothetical protein
DHLAKHBD_00606	CDS	303				hypothetical protein
DHLAKHBD_00607	CDS	123				hypothetical protein
DHLAKHBD_00608	CDS	678	ecfA1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
DHLAKHBD_00609	tRNA	72				tRNA-Asn(gtt)
DHLAKHBD_00610	CDS	807	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
DHLAKHBD_00611	CDS	981				hypothetical protein
DHLAKHBD_00612	CDS	651	tmk	2.7.4.9	COG0125	Thymidylate kinase
DHLAKHBD_00613	CDS	2325	pacS	7.2.2.8		putative copper-transporting ATPase PacS
DHLAKHBD_00614	CDS	522	ycf3_3			Photosystem I assembly protein Ycf3
DHLAKHBD_00615	CDS	1395	radA	3.6.4.-	COG1066	DNA repair protein RadA
DHLAKHBD_00616	CDS	747	walR		COG0745	Transcriptional regulatory protein WalR
DHLAKHBD_00617	CDS	1266	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
DHLAKHBD_00618	CDS	1020	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
DHLAKHBD_00619	CDS	897	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
DHLAKHBD_00620	CDS	672				hypothetical protein
DHLAKHBD_00621	CDS	642				hypothetical protein
DHLAKHBD_00622	CDS	678				hypothetical protein
DHLAKHBD_00623	CDS	198				hypothetical protein
DHLAKHBD_00624	CDS	1239		2.7.7.-		CC-adding tRNA nucleotidyltransferase
DHLAKHBD_00625	CDS	444				hypothetical protein
DHLAKHBD_00626	CDS	942	crtB	2.5.1.32		15-cis-phytoene synthase
DHLAKHBD_00627	CDS	1419	pds_1	1.3.5.5	COG3349	15-cis-phytoene desaturase
DHLAKHBD_00628	CDS	348	ndhM	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit M
DHLAKHBD_00629	CDS	654				hypothetical protein
DHLAKHBD_00630	CDS	972	cmpR			HTH-type transcriptional activator CmpR
DHLAKHBD_00631	CDS	702				hypothetical protein
DHLAKHBD_00632	CDS	2013	nuoL_2	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
DHLAKHBD_00633	CDS	1692	ndhD1_2	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
DHLAKHBD_00634	CDS	915				hypothetical protein
DHLAKHBD_00635	CDS	1170	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
DHLAKHBD_00636	CDS	915	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
DHLAKHBD_00637	CDS	279				hypothetical protein
DHLAKHBD_00638	CDS	501		3.6.1.25	COG2954	Inorganic triphosphatase
DHLAKHBD_00639	CDS	948	nadK_1	2.7.1.23	COG0061	NAD kinase
DHLAKHBD_00640	CDS	330	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
DHLAKHBD_00641	CDS	603				hypothetical protein
DHLAKHBD_00642	CDS	657	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
DHLAKHBD_00643	CDS	1155	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
DHLAKHBD_00644	CDS	1191	gltA	2.3.3.16	COG0372	Citrate synthase
DHLAKHBD_00645	CDS	246				hypothetical protein
DHLAKHBD_00646	CDS	1614				hypothetical protein
DHLAKHBD_00647	CDS	1059	hrcA			Heat-inducible transcription repressor HrcA
DHLAKHBD_00648	CDS	138				hypothetical protein
DHLAKHBD_00649	CDS	1299	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
DHLAKHBD_00650	CDS	204				hypothetical protein
DHLAKHBD_00651	CDS	342	yciH		COG0023	putative protein YciH
DHLAKHBD_00652	CDS	684	cysC	2.7.1.25	COG0529	putative adenylyl-sulfate kinase
DHLAKHBD_00653	CDS	1071				Sodium-lithium/proton antiporter
DHLAKHBD_00654	CDS	1530				hypothetical protein
DHLAKHBD_00655	CDS	168				hypothetical protein
DHLAKHBD_00656	CDS	204				hypothetical protein
DHLAKHBD_00657	CDS	222				hypothetical protein
DHLAKHBD_00658	CDS	282				hypothetical protein
DHLAKHBD_00659	CDS	192				hypothetical protein
DHLAKHBD_00660	CDS	252				hypothetical protein
DHLAKHBD_00661	CDS	240				hypothetical protein
DHLAKHBD_00662	CDS	252				hypothetical protein
DHLAKHBD_00663	CDS	252				hypothetical protein
DHLAKHBD_00664	CDS	258				hypothetical protein
DHLAKHBD_00665	CDS	255				hypothetical protein
DHLAKHBD_00666	CDS	318				hypothetical protein
DHLAKHBD_00667	CDS	387				hypothetical protein
DHLAKHBD_00668	CDS	234				hypothetical protein
DHLAKHBD_00669	CDS	183				hypothetical protein
DHLAKHBD_00670	CDS	225				hypothetical protein
DHLAKHBD_00671	CDS	318				hypothetical protein
DHLAKHBD_00672	CDS	141				hypothetical protein
DHLAKHBD_00673	CDS	180				hypothetical protein
DHLAKHBD_00674	CDS	291				hypothetical protein
DHLAKHBD_00675	CDS	1473	selO_1	2.7.7.-		Protein adenylyltransferase SelO
DHLAKHBD_00676	CDS	2331	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
DHLAKHBD_00677	CDS	1632	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
DHLAKHBD_00678	CDS	975	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
DHLAKHBD_00679	CDS	870	rbgA		COG1161	Ribosome biogenesis GTPase A
DHLAKHBD_00680	CDS	384				hypothetical protein
DHLAKHBD_00681	CDS	1206	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
DHLAKHBD_00682	CDS	912	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
DHLAKHBD_00683	CDS	1002				hypothetical protein
DHLAKHBD_00684	CDS	645				hypothetical protein
DHLAKHBD_00685	CDS	684				hypothetical protein
DHLAKHBD_00686	CDS	1086	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
DHLAKHBD_00687	CDS	1104	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
DHLAKHBD_00688	CDS	810				hypothetical protein
DHLAKHBD_00689	CDS	2325	sctC			Type 3 secretion system secretin
DHLAKHBD_00690	CDS	756				hypothetical protein
DHLAKHBD_00691	CDS	699				hypothetical protein
DHLAKHBD_00692	CDS	999				hypothetical protein
DHLAKHBD_00693	CDS	1179	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
DHLAKHBD_00694	CDS	774	rnhA	3.1.26.4		Ribonuclease H
DHLAKHBD_00695	CDS	711				hypothetical protein
DHLAKHBD_00696	CDS	396	rplL			50S ribosomal protein L7/L12
DHLAKHBD_00697	CDS	528	rplJ		COG0244	50S ribosomal protein L10
DHLAKHBD_00698	CDS	708	rplA		COG0081	50S ribosomal protein L1
DHLAKHBD_00699	CDS	426	rplK			50S ribosomal protein L11
DHLAKHBD_00700	CDS	672	nusG			Transcription termination/antitermination protein NusG
DHLAKHBD_00701	CDS	273				hypothetical protein
DHLAKHBD_00702	CDS	2787	clpB1_2		COG0542	Chaperone protein ClpB 1
DHLAKHBD_00703	CDS	384	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
DHLAKHBD_00704	CDS	1296	eno	4.2.1.11	COG0148	Enolase
DHLAKHBD_00705	CDS	1680	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
DHLAKHBD_00706	CDS	315				hypothetical protein
DHLAKHBD_00707	CDS	747				hypothetical protein
DHLAKHBD_00708	CDS	189				hypothetical protein
DHLAKHBD_00709	CDS	135				hypothetical protein
DHLAKHBD_00710	CDS	348				hypothetical protein
DHLAKHBD_00711	CDS	240				hypothetical protein
DHLAKHBD_00712	CDS	303				hypothetical protein
DHLAKHBD_00713	CDS	189				hypothetical protein
DHLAKHBD_00714	CDS	1122				hypothetical protein
DHLAKHBD_00715	CDS	156				hypothetical protein
DHLAKHBD_00716	CDS	174				hypothetical protein
DHLAKHBD_00717	CDS	156				hypothetical protein
DHLAKHBD_00718	CDS	159				hypothetical protein
DHLAKHBD_00719	CDS	111				hypothetical protein
DHLAKHBD_00720	CDS	183				hypothetical protein
DHLAKHBD_00721	CDS	441				hypothetical protein
DHLAKHBD_00722	CDS	120				hypothetical protein
DHLAKHBD_00723	CDS	216				hypothetical protein
DHLAKHBD_00724	CDS	504				hypothetical protein
DHLAKHBD_00725	CDS	1410	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
DHLAKHBD_00726	CDS	882	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
DHLAKHBD_00727	CDS	150				hypothetical protein
DHLAKHBD_00728	CDS	273				hypothetical protein
DHLAKHBD_00729	CDS	255				hypothetical protein
DHLAKHBD_00730	CDS	630				hypothetical protein
DHLAKHBD_00731	CDS	282				hypothetical protein
DHLAKHBD_00732	CDS	144				hypothetical protein
DHLAKHBD_00733	CDS	1815	lepA	3.6.5.-		Elongation factor 4
DHLAKHBD_00734	CDS	1620				hypothetical protein
DHLAKHBD_00735	CDS	666				hypothetical protein
DHLAKHBD_00736	CDS	792				hypothetical protein
DHLAKHBD_00737	CDS	1968				hypothetical protein
DHLAKHBD_00738	CDS	528				hypothetical protein
DHLAKHBD_00739	CDS	468	pilE		COG4969	Fimbrial protein
DHLAKHBD_00740	CDS	300				hypothetical protein
DHLAKHBD_00741	CDS	450				hypothetical protein
DHLAKHBD_00742	CDS	1395	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
DHLAKHBD_00743	CDS	816	gsiD		COG1173	Glutathione transport system permease protein GsiD
DHLAKHBD_00744	CDS	225				hypothetical protein
DHLAKHBD_00745	CDS	636	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
DHLAKHBD_00746	CDS	402	ogt	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
DHLAKHBD_00747	CDS	1356	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
DHLAKHBD_00748	CDS	1977	pbpF		COG0744	Penicillin-binding protein 1F
DHLAKHBD_00749	CDS	1011	menA_1	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
DHLAKHBD_00750	CDS	219				hypothetical protein
DHLAKHBD_00751	CDS	771	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
DHLAKHBD_00752	CDS	285	MENG	2.1.1.329		2-phytyl-1,4-beta-naphthoquinone methyltransferase, chloroplastic
DHLAKHBD_00753	CDS	444	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
DHLAKHBD_00754	CDS	387				hypothetical protein
DHLAKHBD_00755	CDS	144				hypothetical protein
DHLAKHBD_00756	CDS	441				hypothetical protein
DHLAKHBD_00757	CDS	327				hypothetical protein
DHLAKHBD_00758	CDS	2325	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
DHLAKHBD_00759	CDS	261				hypothetical protein
DHLAKHBD_00760	CDS	375				hypothetical protein
DHLAKHBD_00761	CDS	156				hypothetical protein
DHLAKHBD_00762	CDS	903	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
DHLAKHBD_00763	CDS	156				hypothetical protein
DHLAKHBD_00764	CDS	1422			COG2239	Magnesium transporter MgtE
DHLAKHBD_00765	CDS	480	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
DHLAKHBD_00766	CDS	375	crcB_1			Putative fluoride ion transporter CrcB
DHLAKHBD_00767	CDS	396	crcB_2			Putative fluoride ion transporter CrcB
DHLAKHBD_00768	CDS	327				hypothetical protein
DHLAKHBD_00769	CDS	1968	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
DHLAKHBD_00770	CDS	900	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
DHLAKHBD_00771	CDS	660	infC			Translation initiation factor IF-3
DHLAKHBD_00772	CDS	861				hypothetical protein
DHLAKHBD_00773	CDS	756	cysE	2.3.1.30	COG1045	Serine acetyltransferase
DHLAKHBD_00774	CDS	591				hypothetical protein
DHLAKHBD_00775	CDS	159				hypothetical protein
DHLAKHBD_00776	CDS	270				hypothetical protein
DHLAKHBD_00777	CDS	1113	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
DHLAKHBD_00778	CDS	906	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
DHLAKHBD_00779	CDS	618	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DHLAKHBD_00780	CDS	927	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
DHLAKHBD_00781	CDS	216				hypothetical protein
DHLAKHBD_00782	CDS	147				hypothetical protein
DHLAKHBD_00783	CDS	765				hypothetical protein
DHLAKHBD_00784	CDS	813				hypothetical protein
DHLAKHBD_00785	CDS	1434	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DHLAKHBD_00786	CDS	873				hypothetical protein
DHLAKHBD_00787	CDS	1065	pseI	2.5.1.97	COG2089	Pseudaminic acid synthase
DHLAKHBD_00788	CDS	1398				hypothetical protein
DHLAKHBD_00789	CDS	1545				hypothetical protein
DHLAKHBD_00790	CDS	1335	kat	2.6.1.111		3-aminobutyryl-CoA aminotransferase
DHLAKHBD_00791	CDS	819	kdsB_1	2.7.7.38		8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
DHLAKHBD_00792	CDS	540				hypothetical protein
DHLAKHBD_00793	CDS	786	hisF_2	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
DHLAKHBD_00794	CDS	651	hisH_1	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
DHLAKHBD_00795	CDS	1248				hypothetical protein
DHLAKHBD_00796	CDS	897				hypothetical protein
DHLAKHBD_00797	CDS	1167	pseC	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
DHLAKHBD_00798	CDS	1020	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
DHLAKHBD_00799	CDS	1386	hlyD_1			Hemolysin secretion protein D, chromosomal
DHLAKHBD_00800	CDS	2946	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DHLAKHBD_00801	CDS	750				hypothetical protein
DHLAKHBD_00802	CDS	2082				hypothetical protein
DHLAKHBD_00803	CDS	2397				hypothetical protein
DHLAKHBD_00804	CDS	1206				hypothetical protein
DHLAKHBD_00805	CDS	1071				hypothetical protein
DHLAKHBD_00806	CDS	2217				hypothetical protein
DHLAKHBD_00807	CDS	927	fcf1	1.1.1.266		dTDP-4-dehydro-6-deoxyglucose reductase
DHLAKHBD_00808	CDS	783				hypothetical protein
DHLAKHBD_00809	CDS	2847	secA		COG0653	Protein translocase subunit SecA
DHLAKHBD_00810	CDS	465				hypothetical protein
DHLAKHBD_00811	tRNA	72				tRNA-Gly(gcc)
DHLAKHBD_00812	CDS	495	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
DHLAKHBD_00813	CDS	201				hypothetical protein
DHLAKHBD_00814	CDS	2814	mutS		COG0249	DNA mismatch repair protein MutS
DHLAKHBD_00815	CDS	762	surA	5.2.1.8		Chaperone SurA
DHLAKHBD_00816	CDS	2928	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DHLAKHBD_00817	CDS	1176	hlyD_2			Hemolysin secretion protein D, plasmid
DHLAKHBD_00818	CDS	624	cobH	5.4.99.61		Precorrin-8X methylmutase
DHLAKHBD_00819	CDS	1011				hypothetical protein
DHLAKHBD_00820	CDS	1788				hypothetical protein
DHLAKHBD_00821	CDS	240				hypothetical protein
DHLAKHBD_00822	CDS	2040	uvrB			UvrABC system protein B
DHLAKHBD_00823	CDS	420				hypothetical protein
DHLAKHBD_00824	CDS	777				hypothetical protein
DHLAKHBD_00825	CDS	1032	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
DHLAKHBD_00826	CDS	1110				hypothetical protein
DHLAKHBD_00827	CDS	2004	rnjA	3.1.-.-	COG0595	Ribonuclease J1
